anomaly,amount
low_risk,665.4055
moderate_risk,762.8003
low_risk,453.87137
moderate_risk,1019.2269
moderate_risk,233.25455
low_risk,532.3528
low_risk,368.70993
low_risk,531.1372
low_risk,346.53348
low_risk,334.74277
low_risk,595.44183
low_risk,593.99194
low_risk,649.51086
low_risk,429.37094
moderate_risk,684.3535
moderate_risk,16.978634
low_risk,213.42926
moderate_risk,706.29706
moderate_risk,814.0036
low_risk,305.67416
moderate_risk,582.98615
low_risk,430.3516
low_risk,430.8488
low_risk,657.6131
low_risk,397.25702
low_risk,527.10223
moderate_risk,388.33545
moderate_risk,440.45383
low_risk,541.866
low_risk,441.48434
low_risk,175.6166
low_risk,534.0105
moderate_risk,433.77887
low_risk,487.94254
low_risk,0.01
low_risk,619.39594
low_risk,175.61624
low_risk,552.41284
moderate_risk,504.91428
moderate_risk,822.6947
moderate_risk,124.46488
moderate_risk,810.1981
low_risk,106.03264
low_risk,589.2117
moderate_risk,1027.3982
low_risk,518.2784
low_risk,406.52753
low_risk,571.8726
moderate_risk,809.7209
low_risk,608.9658
low_risk,395.1039
moderate_risk,402.99838
moderate_risk,1020.37354
low_risk,527.2056
low_risk,414.2484
moderate_risk,695.11383
low_risk,278.13074
low_risk,392.63843
moderate_risk,910.89606
moderate_risk,906.8449
low_risk,0.01
low_risk,596.30963
low_risk,451.93326
low_risk,426.1222
moderate_risk,347.9956
low_risk,325.39548
low_risk,328.93973
low_risk,142.94478
moderate_risk,714.0499
low_risk,596.6123
moderate_risk,898.8532
moderate_risk,710.1413
low_risk,596.3624
low_risk,550.29
low_risk,210.29695
low_risk,456.48495
moderate_risk,350.22302
low_risk,448.7781
moderate_risk,508.49768
moderate_risk,445.86923
moderate_risk,797.6496
low_risk,124.19218
low_risk,298.3756
low_risk,74.25623
moderate_risk,630.63495
moderate_risk,716.13135
low_risk,66.40184
low_risk,277.07147
low_risk,358.47574
moderate_risk,719.7197
low_risk,463.3305
low_risk,574.9639
low_risk,392.5084
moderate_risk,297.95294
low_risk,603.1026
low_risk,244.7337
low_risk,200.67871
low_risk,120.26883
moderate_risk,701.38544
low_risk,340.93802
low_risk,323.61487
low_risk,151.47739
low_risk,388.59775
low_risk,286.50177
low_risk,409.05975
low_risk,408.25937
moderate_risk,587.815
moderate_risk,709.63904
moderate_risk,741.5794
low_risk,0.01
low_risk,523.36755
low_risk,532.92334
low_risk,445.79117
moderate_risk,0.01
low_risk,540.3646
low_risk,256.76273
moderate_risk,875.4645
low_risk,320.7763
moderate_risk,246.30785
moderate_risk,404.8132
moderate_risk,846.92175
moderate_risk,359.50464
low_risk,473.61533
moderate_risk,370.8285
moderate_risk,601.7598
moderate_risk,691.2377
moderate_risk,917.6796
moderate_risk,846.3362
low_risk,363.32193
moderate_risk,781.0117
low_risk,348.68192
low_risk,640.4465
low_risk,0.01
moderate_risk,330.9258
moderate_risk,437.60193
moderate_risk,654.1111
low_risk,588.22034
low_risk,402.28583
moderate_risk,242.7019
low_risk,670.038
moderate_risk,825.94
low_risk,583.6042
low_risk,0.01
low_risk,612.2649
moderate_risk,335.7444
moderate_risk,700.3695
moderate_risk,912.2167
moderate_risk,0.01
moderate_risk,570.85425
low_risk,321.00522
moderate_risk,737.87195
moderate_risk,501.45267
low_risk,522.5253
moderate_risk,678.3677
low_risk,510.2826
low_risk,626.60144
low_risk,515.6467
low_risk,97.59291
moderate_risk,413.0238
moderate_risk,503.2345
low_risk,283.95172
low_risk,456.62106
low_risk,384.40033
moderate_risk,908.8741
moderate_risk,467.4233
low_risk,337.85175
moderate_risk,796.4068
moderate_risk,566.4188
low_risk,115.560524
moderate_risk,0.01
low_risk,464.591
low_risk,428.6323
moderate_risk,630.96326
low_risk,611.68896
moderate_risk,753.4516
moderate_risk,428.5891
low_risk,275.40924
low_risk,322.08728
low_risk,565.444
low_risk,549.584
moderate_risk,96.29038
low_risk,337.56943
low_risk,465.67343
low_risk,390.9435
moderate_risk,309.82355
moderate_risk,725.4316
low_risk,582.1923
moderate_risk,485.63748
low_risk,591.06366
low_risk,244.35292
moderate_risk,991.585
low_risk,142.1192
moderate_risk,683.70856
low_risk,126.510315
low_risk,333.56888
low_risk,463.8618
moderate_risk,741.1841
low_risk,405.73322
moderate_risk,897.54663
moderate_risk,515.6559
moderate_risk,682.76624
moderate_risk,702.08307
moderate_risk,810.8504
low_risk,627.92395
low_risk,631.852
moderate_risk,81.54937
low_risk,286.94736
moderate_risk,1045.4828
moderate_risk,655.17175
low_risk,589.86316
low_risk,648.4276
moderate_risk,976.8048
moderate_risk,425.8945
low_risk,586.865
moderate_risk,631.18463
low_risk,260.92557
moderate_risk,570.1359
low_risk,595.84155
low_risk,576.0583
moderate_risk,750.43616
moderate_risk,0.01
low_risk,295.17752
moderate_risk,531.4826
moderate_risk,792.3338
low_risk,484.47223
low_risk,560.9086
low_risk,425.20255
low_risk,584.0085
low_risk,306.2121
moderate_risk,299.56528
moderate_risk,711.5075
moderate_risk,21.621387
low_risk,551.6312
low_risk,273.50018
low_risk,587.0476
low_risk,340.421
low_risk,287.03928
low_risk,630.93945
low_risk,387.49704
low_risk,638.653
low_risk,343.09787
low_risk,0.01
low_risk,256.69946
low_risk,461.85223
low_risk,338.67245
low_risk,490.66827
moderate_risk,824.8702
low_risk,677.4695
low_risk,272.72723
low_risk,569.62994
low_risk,583.4206
low_risk,675.73004
low_risk,421.61993
moderate_risk,499.94986
low_risk,146.07805
low_risk,559.23035
low_risk,553.7108
low_risk,321.11588
low_risk,614.68823
low_risk,516.6343
low_risk,284.73914
low_risk,523.0986
moderate_risk,338.19598
moderate_risk,544.5055
low_risk,497.19412
moderate_risk,724.4453
moderate_risk,262.94565
low_risk,626.8091
low_risk,573.1404
moderate_risk,521.5304
low_risk,548.5824
moderate_risk,310.80835
low_risk,299.39453
low_risk,310.8659
moderate_risk,928.48126
low_risk,458.82632
low_risk,279.02414
moderate_risk,900.7015
moderate_risk,478.3816
low_risk,649.2879
low_risk,524.731
low_risk,536.3582
low_risk,198.80276
low_risk,686.8576
low_risk,231.54965
moderate_risk,278.35226
low_risk,515.0455
low_risk,293.90442
moderate_risk,996.4457
low_risk,412.3871
low_risk,211.50972
low_risk,546.03174
moderate_risk,777.33594
moderate_risk,498.14062
low_risk,303.4802
moderate_risk,1108.666
moderate_risk,733.45685
moderate_risk,737.49866
low_risk,622.5174
low_risk,462.60938
moderate_risk,772.37823
moderate_risk,912.50256
low_risk,468.94382
low_risk,658.8083
low_risk,321.514
low_risk,543.9062
moderate_risk,469.20554
moderate_risk,393.2994
low_risk,527.15497
low_risk,595.5205
moderate_risk,800.35767
low_risk,245.04941
low_risk,506.5384
low_risk,613.5395
moderate_risk,673.64923
low_risk,434.79364
moderate_risk,437.66028
moderate_risk,803.60144
low_risk,133.7269
moderate_risk,702.67255
moderate_risk,0.01
moderate_risk,673.68646
moderate_risk,685.53326
low_risk,501.73474
moderate_risk,426.81836
moderate_risk,428.80234
moderate_risk,565.727
moderate_risk,689.9694
moderate_risk,925.67993
moderate_risk,453.8453
